"protein","feature","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"324","sp|P07244|PUR2_YEAST","sp|P07244|PUR2_YEAST",-1.13,1.36163575544053e-06,3.7e-05,"conditionB-conditionA","YEAST","1","-1"
"325","sp|P23180|AIM17_YEAST","sp|P23180|AIM17_YEAST",-2.52,1.36954446827318e-06,1.36e-05,"conditionB-conditionA","YEAST","1","-1"
"326","sp|Q05016|YM71_YEAST","sp|Q05016|YM71_YEAST",-1.41,1.40918424519783e-06,2.47e-05,"conditionB-conditionA","YEAST","1","-1"
"327","sp|Q02776|TIM50_YEAST","sp|Q02776|TIM50_YEAST",-0.572,1.47538654709023e-06,2.65e-05,"conditionB-conditionA","YEAST","1","-1"
"328","sp|P00931|TRP_YEAST","sp|P00931|TRP_YEAST",-2.12,1.49021852429194e-06,2.69e-05,"conditionB-conditionA","YEAST","1","-1"
"329","sp|P38264|PHO88_YEAST","sp|P38264|PHO88_YEAST",-1.53,1.55950351492205e-06,4.51e-05,"conditionB-conditionA","YEAST","1","-1"
"330","sp|P06101|CDC37_YEAST","sp|P06101|CDC37_YEAST",-1.05,1.56199629543991e-06,8.83e-06,"conditionB-conditionA","YEAST","1","-1"
"331","sp|Q04947|RTN1_YEAST","sp|Q04947|RTN1_YEAST",-1.93,1.61732806537475e-06,4.75e-05,"conditionB-conditionA","YEAST","1","-1"
"332","sp|P0A7L0|RL1_ECOLI","sp|P0A7L0|RL1_ECOLI",2.58,1.6368480978911e-06,1.84e-05,"conditionB-conditionA","ECOLI","1","2"
"333","sp|P15624|SYFB_YEAST","sp|P15624|SYFB_YEAST",-1.72,1.63734958913575e-06,4.84e-05,"conditionB-conditionA","YEAST","1","-1"
"334","sp|P25294|SIS1_YEAST","sp|P25294|SIS1_YEAST",-1.26,1.68628453892875e-06,5.05e-05,"conditionB-conditionA","YEAST","1","-1"
"335","sp|P38427|TSL1_YEAST","sp|P38427|TSL1_YEAST",-1.3,1.71871296242705e-06,3.32e-05,"conditionB-conditionA","YEAST","1","-1"
"336","sp|P53978|EF3B_YEAST","sp|P53978|EF3B_YEAST",-1.31,1.76597696109146e-06,5.39e-05,"conditionB-conditionA","YEAST","1","-1"
"337","sp|P46672|ARC1_YEAST","sp|P46672|ARC1_YEAST",-1.28,1.78043813990651e-06,5.45e-05,"conditionB-conditionA","YEAST","1","-1"
"338","sp|P17695|GLRX2_YEAST","sp|P17695|GLRX2_YEAST",-0.898,1.82638794034208e-06,5.65e-05,"conditionB-conditionA","YEAST","1","-1"
"339","sp|P04802|SYDC_YEAST","sp|P04802|SYDC_YEAST",-1.02,1.95978342209796e-06,6.25e-05,"conditionB-conditionA","YEAST","1","-1"
"340","sp|P32379|PSA5_YEAST","sp|P32379|PSA5_YEAST",-1.1,1.99231077546474e-06,2.53e-05,"conditionB-conditionA","YEAST","1","-1"
"341","sp|P47075|VTC4_YEAST","sp|P47075|VTC4_YEAST",-2.17,2.06633299945898e-06,6.74e-05,"conditionB-conditionA","YEAST","1","-1"
"342","sp|P30624|LCF1_YEAST","sp|P30624|LCF1_YEAST",-1.53,2.13032005403982e-06,7.04e-05,"conditionB-conditionA","YEAST","1","-1"
"343","sp|P16120|THRC_YEAST","sp|P16120|THRC_YEAST",-1.39,2.2234336977867e-06,7.48e-05,"conditionB-conditionA","YEAST","1","-1"
"344","sp|P50861|RIB4_YEAST","sp|P50861|RIB4_YEAST",-1.17,2.35838581092565e-06,8.11e-05,"conditionB-conditionA","YEAST","1","-1"
"345","sp|P02406|RL28_YEAST","sp|P02406|RL28_YEAST",-1.12,2.39988155202057e-06,8.31e-05,"conditionB-conditionA","YEAST","1","-1"
"346","sp|P43616|DUG1_YEAST","sp|P43616|DUG1_YEAST",-2.07,2.49402780974069e-06,8.76e-05,"conditionB-conditionA","YEAST","1","-1"
"347","sp|Q07551|KAR_YEAST","sp|Q07551|KAR_YEAST",-1.08,2.61231354134155e-06,9.33e-05,"conditionB-conditionA","YEAST","1","-1"
"348","sp|P60624|RL24_ECOLI","sp|P60624|RL24_ECOLI",2.28,2.61978564909013e-06,9.37e-05,"conditionB-conditionA","ECOLI","1","2"
"349","sp|P32614|FRDS_YEAST","sp|P32614|FRDS_YEAST",-1.96,2.80361168892721e-06,4.31e-05,"conditionB-conditionA","YEAST","1","-1"
"350","sp|P00722|BGAL_ECOLI","sp|P00722|BGAL_ECOLI",1.68,2.89155366311875e-06,1.94e-06,"conditionB-conditionA","ECOLI","1","2"
"351","sp|Q12672|RL21B_YEAST","sp|Q12672|RL21B_YEAST",-0.945,2.89309091042275e-06,2.62e-05,"conditionB-conditionA","YEAST","1","-1"
"352","sp|P0ABK5|CYSK_ECOLI","sp|P0ABK5|CYSK_ECOLI",2.82,2.9174081187487e-06,5.79e-06,"conditionB-conditionA","ECOLI","1","2"
"353","sp|P33297|PRS6A_YEAST","sp|P33297|PRS6A_YEAST",-1.13,3.29189557280577e-06,1.06e-07,"conditionB-conditionA","YEAST","1","-1"
"354","sp|P32642|GLRX4_YEAST;sp|Q03835|GLRX3_YEAST","sp|P32642|GLRX4_YEAST;sp|Q03835|GLRX3_YEAST",-1.14,3.36833005411802e-06,3.35e-05,"conditionB-conditionA","YEAST","1","-1"
"355","sp|P41338|ERG10_YEAST","sp|P41338|ERG10_YEAST",-1.5,3.3770943784072e-06,0.000132,"conditionB-conditionA","YEAST","1","-1"
"356","sp|P20081|FKBP_YEAST","sp|P20081|FKBP_YEAST",-1.6,3.4135539953445e-06,0.000134,"conditionB-conditionA","YEAST","1","-1"
"357","sp|P53834|HCH1_YEAST","sp|P53834|HCH1_YEAST",-1.04,3.59627935945906e-06,8.98e-06,"conditionB-conditionA","YEAST","1","-1"
"358","sp|P15705|STI1_YEAST","sp|P15705|STI1_YEAST",-1.61,3.60895625357796e-06,0.000144,"conditionB-conditionA","YEAST","1","-1"
"359","sp|Q00955|ACAC_YEAST;sp|P32874|HFA1_YEAST","sp|Q00955|ACAC_YEAST;sp|P32874|HFA1_YEAST",-1.57,3.74898119056562e-06,0.000152,"conditionB-conditionA","YEAST","1","-1"
"360","sp|Q08972|NEW1_YEAST","sp|Q08972|NEW1_YEAST",-1.13,3.79917622480128e-06,0.000154,"conditionB-conditionA","YEAST","1","-1"
"361","sp|P33322|CBF5_YEAST","sp|P33322|CBF5_YEAST",-2,3.98152990722277e-06,0.000164,"conditionB-conditionA","YEAST","1","-1"
"362","sp|P40037|HMF1_YEAST","sp|P40037|HMF1_YEAST",-1.2,3.99907778300087e-06,0.000165,"conditionB-conditionA","YEAST","1","-1"
"363","sp|Q02969|PEX25_YEAST","sp|Q02969|PEX25_YEAST",-1.11,4.20728606567675e-06,8.06e-05,"conditionB-conditionA","YEAST","1","-1"
"364","sp|P0A9P0|DLDH_ECOLI","sp|P0A9P0|DLDH_ECOLI",2.24,4.33816848259606e-06,2.78e-05,"conditionB-conditionA","ECOLI","1","2"
"365","sp|P47079|TCPQ_YEAST","sp|P47079|TCPQ_YEAST",-1.11,4.46287541801969e-06,0.00019,"conditionB-conditionA","YEAST","1","-1"
"366","sp|P38910|CH10_YEAST","sp|P38910|CH10_YEAST",-1.02,4.48990784187474e-06,0.000192,"conditionB-conditionA","YEAST","1","-1"
"367","sp|P25349|YCP4_YEAST","sp|P25349|YCP4_YEAST",-0.898,4.49524727814186e-06,0.000192,"conditionB-conditionA","YEAST","1","-1"
"368","sp|P53507|TOM7_YEAST","sp|P53507|TOM7_YEAST",-0.916,4.56846909187526e-06,0.000138,"conditionB-conditionA","YEAST","1","-1"
"369","sp|P60422|RL2_ECOLI","sp|P60422|RL2_ECOLI",2.89,4.60547787566895e-06,0.000198,"conditionB-conditionA","ECOLI","1","2"
"370","sp|P38737|ECM29_YEAST","sp|P38737|ECM29_YEAST",-0.747,4.6670967389923e-06,5.88e-06,"conditionB-conditionA","YEAST","1","-1"
"371","sp|P0AA04|PTHP_ECOLI","sp|P0AA04|PTHP_ECOLI",0.928,4.87216891564567e-06,0.000151,"conditionB-conditionA","ECOLI","1","2"
"372","sp|P19073|CDC42_YEAST","sp|P19073|CDC42_YEAST",-1.05,4.9936795502296e-06,6.84e-06,"conditionB-conditionA","YEAST","1","-1"
"373","sp|P23641|MPCP_YEAST","sp|P23641|MPCP_YEAST",-0.671,5.0357796323169e-06,0.000223,"conditionB-conditionA","YEAST","1","-1"
"374","sp|Q12074|SPEE_YEAST","sp|Q12074|SPEE_YEAST",-1.84,5.17709597004857e-06,0.000164,"conditionB-conditionA","YEAST","1","-1"
"375","sp|P68919|RL25_ECOLI","sp|P68919|RL25_ECOLI",2.88,5.32252674527635e-06,1.97e-05,"conditionB-conditionA","ECOLI","1","2"
"376","sp|P0A850|TIG_ECOLI","sp|P0A850|TIG_ECOLI",1.75,5.40642626718309e-06,0.000244,"conditionB-conditionA","ECOLI","1","2"
"377","sp|P25343|RV161_YEAST","sp|P25343|RV161_YEAST",-1.52,5.80282124282806e-06,0.000267,"conditionB-conditionA","YEAST","1","-1"
"378","sp|P32565|RPN2_YEAST","sp|P32565|RPN2_YEAST",-1.21,6.25159432240967e-06,2.65e-05,"conditionB-conditionA","YEAST","1","-1"
"379","sp|P23847|DPPA_ECOLI","sp|P23847|DPPA_ECOLI",2.87,6.57552810843504e-06,5.68e-05,"conditionB-conditionA","ECOLI","1","2"
"380","sp|P15891|ABP1_YEAST","sp|P15891|ABP1_YEAST",-0.987,6.64484244207307e-06,0.000317,"conditionB-conditionA","YEAST","1","-1"
"381","sp|P0A8T7|RPOC_ECOLI","sp|P0A8T7|RPOC_ECOLI",1.21,7.26708665242154e-06,5.25e-06,"conditionB-conditionA","ECOLI","1","2"
"382","sp|P38836|ECM14_YEAST","sp|P38836|ECM14_YEAST",-0.755,7.28852353896912e-06,6.77e-05,"conditionB-conditionA","YEAST","1","-1"
"383","sp|P40825|SYA_YEAST","sp|P40825|SYA_YEAST",-1.53,7.5511206003029e-06,0.000371,"conditionB-conditionA","YEAST","1","-1"
"384","sp|P21264|PUR6_YEAST","sp|P21264|PUR6_YEAST",-1.59,8.19026729883545e-06,0.000409,"conditionB-conditionA","YEAST","1","-1"
"385","sp|Q08971|YP225_YEAST","sp|Q08971|YP225_YEAST",-1.99,8.32259849096648e-06,0.000309,"conditionB-conditionA","YEAST","1","-1"
"386","sp|Q06151|DCPS_YEAST","sp|Q06151|DCPS_YEAST",-1.67,8.33328036763657e-06,0.000141,"conditionB-conditionA","YEAST","1","-1"
"387","sp|P38711|RS27B_YEAST;sp|P35997|RS27A_YEAST","sp|P38711|RS27B_YEAST;sp|P35997|RS27A_YEAST",-1.14,8.34020042682174e-06,0.000418,"conditionB-conditionA","YEAST","1","-1"
"388","sp|Q12118|SGT2_YEAST","sp|Q12118|SGT2_YEAST",-1.57,8.43540876365328e-06,0.000424,"conditionB-conditionA","YEAST","1","-1"
"389","sp|Q9UBT2|SAE2_HUMAN","sp|Q9UBT2|SAE2_HUMAN",1.48,9.13611192408532e-06,0.000466,"conditionB-conditionA","HUMAN","0","0"
"390","sp|P21576|VPS1_YEAST","sp|P21576|VPS1_YEAST",-1.75,9.70790318021872e-06,0.000501,"conditionB-conditionA","YEAST","1","-1"
"391","sp|P25491|MAS5_YEAST","sp|P25491|MAS5_YEAST",-1.28,9.84830226094113e-06,0.00051,"conditionB-conditionA","YEAST","1","-1"
"392","sp|Q12285|MDY2_YEAST","sp|Q12285|MDY2_YEAST",-1.28,9.95036470294139e-06,0.000388,"conditionB-conditionA","YEAST","1","-1"
"393","sp|P06634|DED1_YEAST;sp|P24784|DBP1_YEAST","sp|P06634|DED1_YEAST;sp|P24784|DBP1_YEAST",-1.45,1.03343835635651e-05,0.000539,"conditionB-conditionA","YEAST","1","-1"
"394","sp|P38523|GRPE_YEAST","sp|P38523|GRPE_YEAST",-1.66,1.08529998378311e-05,0.000432,"conditionB-conditionA","YEAST","1","-1"
"395","sp|P41807|VATH_YEAST","sp|P41807|VATH_YEAST",-1.76,1.09659541770611e-05,0.000578,"conditionB-conditionA","YEAST","1","-1"
"396","sp|P38879|NACA_YEAST","sp|P38879|NACA_YEAST",-1.19,1.14580966991567e-05,0.000608,"conditionB-conditionA","YEAST","1","-1"
"397","sp|P02557|TBB_YEAST","sp|P02557|TBB_YEAST",-1.4,1.16517274931223e-05,0.000619,"conditionB-conditionA","YEAST","1","-1"
"398","sp|P09733|TBA1_YEAST;sp|P09734|TBA3_YEAST","sp|P09733|TBA1_YEAST;sp|P09734|TBA3_YEAST",-1.33,1.19371238526976e-05,0.000637,"conditionB-conditionA","YEAST","1","-1"
"399","sp|P32588|PUB1_YEAST","sp|P32588|PUB1_YEAST",-1,1.20150212601087e-05,0.000152,"conditionB-conditionA","YEAST","1","-1"
"400","sp|Q12335|PST2_YEAST","sp|Q12335|PST2_YEAST",-2.53,1.21433621412691e-05,0.000246,"conditionB-conditionA","YEAST","1","-1"
"401","sp|P24280|SEC14_YEAST","sp|P24280|SEC14_YEAST",-1.4,1.2218062525848e-05,0.000654,"conditionB-conditionA","YEAST","1","-1"
"402","sp|P16387|ODPA_YEAST","sp|P16387|ODPA_YEAST",-1.98,1.22594480693206e-05,0.000502,"conditionB-conditionA","YEAST","1","-1"
"403","sp|P32263|P5CR_YEAST","sp|P32263|P5CR_YEAST",-1.8,1.24445593178028e-05,0.000255,"conditionB-conditionA","YEAST","1","-1"
"404","sp|P48570|HOSC_YEAST","sp|P48570|HOSC_YEAST",-1.17,1.26641565931208e-05,0.000681,"conditionB-conditionA","YEAST","1","-1"
"405","sp|P40482|SEC24_YEAST","sp|P40482|SEC24_YEAST",-0.934,1.31060578386625e-05,4.95e-05,"conditionB-conditionA","YEAST","1","-1"
"406","sp|P0A7W7|RS8_ECOLI","sp|P0A7W7|RS8_ECOLI",1.94,1.33412991653352e-05,0.000282,"conditionB-conditionA","ECOLI","1","2"
"407","sp|P38707|SYNC_YEAST","sp|P38707|SYNC_YEAST",-1.06,1.36940636850915e-05,0.000746,"conditionB-conditionA","YEAST","1","-1"
"408","sp|P33330|SERC_YEAST","sp|P33330|SERC_YEAST",-1.67,1.43947278658747e-05,0.00079,"conditionB-conditionA","YEAST","1","-1"
"409","sp|P08456|PSS_YEAST","sp|P08456|PSS_YEAST",-0.687,1.44452718397257e-05,0.000612,"conditionB-conditionA","YEAST","1","-1"
"410","sp|Q02326|RL6A_YEAST","sp|Q02326|RL6A_YEAST",-1.25,1.48721976499071e-05,0.00082,"conditionB-conditionA","YEAST","1","-1"
"411","sp|Q9NYF0|DACT1_HUMAN","sp|Q9NYF0|DACT1_HUMAN",-0.761,1.4922879700455e-05,0.00033,"conditionB-conditionA","HUMAN","0","0"
"412","sp|P0AG51|RL30_ECOLI","sp|P0AG51|RL30_ECOLI",1.76,1.49322652364414e-05,0.000125,"conditionB-conditionA","ECOLI","1","2"
"413","sp|P36105|RL14A_YEAST;sp|P38754|RL14B_YEAST","sp|P36105|RL14A_YEAST;sp|P38754|RL14B_YEAST",-1.32,1.54402775260857e-05,0.000856,"conditionB-conditionA","YEAST","1","-1"
"414","sp|P39966|PP2C2_YEAST","sp|P39966|PP2C2_YEAST",-0.785,1.60686340497596e-05,0.000519,"conditionB-conditionA","YEAST","1","-1"
"415","sp|P28777|AROC_YEAST","sp|P28777|AROC_YEAST",-1.09,1.71555980573204e-05,0.000263,"conditionB-conditionA","YEAST","1","-1"
"416","sp|Q99258|RIB3_YEAST","sp|Q99258|RIB3_YEAST",-1.52,1.74536040674087e-05,0.000576,"conditionB-conditionA","YEAST","1","-1"
"417","sp|P00830|ATPB_YEAST","sp|P00830|ATPB_YEAST",-1.67,1.7471132668005e-05,0.000985,"conditionB-conditionA","YEAST","1","-1"
"418","sp|Q12460|NOP56_YEAST","sp|Q12460|NOP56_YEAST",-2.06,1.87914684415837e-05,0.00107,"conditionB-conditionA","YEAST","1","-1"
"419","sp|P40581|GPX3_YEAST","sp|P40581|GPX3_YEAST",-1.31,1.93942855226988e-05,0.00111,"conditionB-conditionA","YEAST","1","-1"
"420","sp|Q08985|SAM4_YEAST","sp|Q08985|SAM4_YEAST",-1.09,2.22090675794789e-05,0.000131,"conditionB-conditionA","YEAST","1","-1"
"421","sp|P33331|NTF2_YEAST","sp|P33331|NTF2_YEAST",-1.52,2.23384036997756e-05,0.00129,"conditionB-conditionA","YEAST","1","-1"
"422","sp|P0A7R5|RS10_ECOLI","sp|P0A7R5|RS10_ECOLI",2.54,2.28244030556661e-05,0.00025,"conditionB-conditionA","ECOLI","1","2"
"423","sp|P15646|FBRL_YEAST","sp|P15646|FBRL_YEAST",-1.59,2.38488464209078e-05,0.00139,"conditionB-conditionA","YEAST","1","-1"
"424","sp|P38764|RPN1_YEAST","sp|P38764|RPN1_YEAST",-1.96,2.6057154779896e-05,0.00123,"conditionB-conditionA","YEAST","1","-1"
"425","sp|Q07478|SUB2_YEAST","sp|Q07478|SUB2_YEAST",-1.28,2.63848398612103e-05,0.00155,"conditionB-conditionA","YEAST","1","-1"
"426","sp|P53981|PYP1_YEAST","sp|P53981|PYP1_YEAST",-2.01,2.64744843962909e-05,0.00125,"conditionB-conditionA","YEAST","1","-1"
"427","sp|Q12305|RDL1_YEAST","sp|Q12305|RDL1_YEAST",-1.66,2.67407963988658e-05,0.000976,"conditionB-conditionA","YEAST","1","-1"
"428","sp|P22259|PCKA_ECOLI","sp|P22259|PCKA_ECOLI",1.91,2.77900516221254e-05,9.52e-05,"conditionB-conditionA","ECOLI","1","2"
"429","sp|P16965|STF2_YEAST","sp|P16965|STF2_YEAST",-1.72,2.92099824745337e-05,0.000805,"conditionB-conditionA","YEAST","1","-1"
"430","sp|P27692|SPT5_YEAST","sp|P27692|SPT5_YEAST",-1.18,3.21196889261996e-05,0.000126,"conditionB-conditionA","YEAST","1","-1"
"431","sp|Q12117|MRH1_YEAST","sp|Q12117|MRH1_YEAST",-0.987,3.23563907752609e-05,0.00194,"conditionB-conditionA","YEAST","1","-1"
"432","sp|P29547|EF1G1_YEAST","sp|P29547|EF1G1_YEAST",-1.61,3.26784000020396e-05,0.00196,"conditionB-conditionA","YEAST","1","-1"
"433","sp|P46367|ALDH4_YEAST;sp|P40047|ALDH5_YEAST","sp|P46367|ALDH4_YEAST;sp|P40047|ALDH5_YEAST",-1.25,3.35231064624505e-05,0.00201,"conditionB-conditionA","YEAST","1","-1"
"434","sp|P02294|H2B2_YEAST;sp|P02293|H2B1_YEAST","sp|P02294|H2B2_YEAST;sp|P02293|H2B1_YEAST",-0.96,3.37310790119e-05,0.00203,"conditionB-conditionA","YEAST","1","-1"
"435","sp|P16550|APA1_YEAST","sp|P16550|APA1_YEAST",-1.63,3.44857799601022e-05,0.00207,"conditionB-conditionA","YEAST","1","-1"
"436","sp|P37302|APE3_YEAST","sp|P37302|APE3_YEAST",-1.02,3.55113551313078e-05,0.00214,"conditionB-conditionA","YEAST","1","-1"
"437","sp|P60983|GMFB_HUMAN","sp|P60983|GMFB_HUMAN",-0.864,3.57613105506643e-05,0.00215,"conditionB-conditionA","HUMAN","0","0"
"438","sp|P05319|RLA2_YEAST","sp|P05319|RLA2_YEAST",-1.02,3.63947708116222e-05,0.00219,"conditionB-conditionA","YEAST","1","-1"
"439","sp|P13298|PYRE_YEAST;sp|P30402|PYRX_YEAST","sp|P13298|PYRE_YEAST;sp|P30402|PYRX_YEAST",-1.8,3.88200519960844e-05,0.00115,"conditionB-conditionA","YEAST","1","-1"
"440","sp|Q3E7X9|RS28A_YEAST;sp|P0C0X0|RS28B_YEAST","sp|Q3E7X9|RS28A_YEAST;sp|P0C0X0|RS28B_YEAST",-0.837,3.96738961579625e-05,0.0024,"conditionB-conditionA","YEAST","1","-1"
"441","sp|Q05775|EIF3J_YEAST","sp|Q05775|EIF3J_YEAST",-1.99,3.97934242543355e-05,0.00157,"conditionB-conditionA","YEAST","1","-1"
"442","sp|P33416|HSP78_YEAST","sp|P33416|HSP78_YEAST",-1.98,4.40669415479499e-05,0.000669,"conditionB-conditionA","YEAST","1","-1"
"443","sp|P38708|YHI0_YEAST","sp|P38708|YHI0_YEAST",-2.13,4.55935305613129e-05,0.00229,"conditionB-conditionA","YEAST","1","-1"
"444","sp|P14742|GFA1_YEAST","sp|P14742|GFA1_YEAST",-1.29,4.60408765190995e-05,0.00232,"conditionB-conditionA","YEAST","1","-1"
"445","sp|P35180|TOM20_YEAST","sp|P35180|TOM20_YEAST",-0.848,4.71135700444534e-05,0.00107,"conditionB-conditionA","YEAST","1","-1"
"446","sp|P68206|YJBJ_ECOLI","sp|P68206|YJBJ_ECOLI",1.43,4.8123681831429e-05,0.00243,"conditionB-conditionA","ECOLI","1","2"
"447","sp|P07257|QCR2_YEAST","sp|P07257|QCR2_YEAST",-1.87,4.97893831338646e-05,0.00203,"conditionB-conditionA","YEAST","1","-1"
"448","sp|P54839|ERG13_YEAST","sp|P54839|ERG13_YEAST",-1.39,4.99812164687671e-05,0.00307,"conditionB-conditionA","YEAST","1","-1"
"449","sp|P23301|IF5A1_YEAST;sp|P19211|IF5A2_YEAST","sp|P23301|IF5A1_YEAST;sp|P19211|IF5A2_YEAST",-1.29,5.2584909324765e-05,0.00323,"conditionB-conditionA","YEAST","1","-1"
"450","sp|Q12122|HOSM_YEAST","sp|Q12122|HOSM_YEAST",-0.91,5.55569043587532e-05,0.000597,"conditionB-conditionA","YEAST","1","-1"
"451","sp|P53131|PRP43_YEAST","sp|P53131|PRP43_YEAST",-0.764,5.60763057556041e-05,0.000941,"conditionB-conditionA","YEAST","1","-1"
"452","sp|P0C2H8|RL31A_YEAST","sp|P0C2H8|RL31A_YEAST",-0.929,5.75291879945619e-05,0.00355,"conditionB-conditionA","YEAST","1","-1"
"453","sp|P0AG63|RS17_ECOLI","sp|P0AG63|RS17_ECOLI",1.51,5.77382204250904e-05,0.00188,"conditionB-conditionA","ECOLI","1","2"
"454","sp|Q12154|GET3_YEAST","sp|Q12154|GET3_YEAST",-1.24,5.77411506285334e-05,0.00356,"conditionB-conditionA","YEAST","1","-1"
"455","sp|P53622|COPA_YEAST","sp|P53622|COPA_YEAST",-1.73,5.80812260776918e-05,0.000368,"conditionB-conditionA","YEAST","1","-1"
"456","sp|P41921|GSHR_YEAST","sp|P41921|GSHR_YEAST",-1.21,5.86496177675385e-05,0.00362,"conditionB-conditionA","YEAST","1","-1"
"457","sp|P38804|SDO1L_YEAST","sp|P38804|SDO1L_YEAST",-1.49,6.00816982434404e-05,0.00371,"conditionB-conditionA","YEAST","1","-1"
"458","sp|P05373|HEM2_YEAST","sp|P05373|HEM2_YEAST",-0.871,6.17141364691603e-05,0.000698,"conditionB-conditionA","YEAST","1","-1"
"459","sp|P40217|EIF3I_YEAST","sp|P40217|EIF3I_YEAST",-1.49,6.29635241103832e-05,0.000422,"conditionB-conditionA","YEAST","1","-1"
"460","sp|P31382|PMT2_YEAST","sp|P31382|PMT2_YEAST",-0.827,6.95562398348559e-05,0.00126,"conditionB-conditionA","YEAST","1","-1"
"461","sp|P47176|BCA2_YEAST;sp|P38891|BCA1_YEAST","sp|P47176|BCA2_YEAST;sp|P38891|BCA1_YEAST",-1.35,7.52439114903969e-05,0.00465,"conditionB-conditionA","YEAST","1","-1"
"462","sp|P32381|ARP2_YEAST","sp|P32381|ARP2_YEAST",-1.5,7.62747958961362e-05,0.00143,"conditionB-conditionA","YEAST","1","-1"
"463","sp|P34227|PRX1_YEAST","sp|P34227|PRX1_YEAST",-1.53,7.86554115315902e-05,0.001,"conditionB-conditionA","YEAST","1","-1"
"464","sp|P47143|ADK_YEAST","sp|P47143|ADK_YEAST",-1.6,9.01756396586011e-05,0.00554,"conditionB-conditionA","YEAST","1","-1"
"465","sp|O00178|GTPB1_HUMAN","sp|O00178|GTPB1_HUMAN",-1.22,9.363432979165e-05,0.000437,"conditionB-conditionA","HUMAN","0","0"
"466","sp|P02992|EFTU_YEAST","sp|P02992|EFTU_YEAST",-1.7,9.44142521872607e-05,0.00579,"conditionB-conditionA","YEAST","1","-1"
"467","sp|P30049|ATPD_HUMAN","sp|P30049|ATPD_HUMAN",0.601,9.53553382808124e-05,0.00585,"conditionB-conditionA","HUMAN","0","0"
"468","sp|P38219|OLA1_YEAST","sp|P38219|OLA1_YEAST",-1.48,9.73123833593812e-05,0.00596,"conditionB-conditionA","YEAST","1","-1"
"469","sp|Q03104|MSC1_YEAST","sp|Q03104|MSC1_YEAST",-1.56,0.000100201513179278,0.00527,"conditionB-conditionA","YEAST","1","-1"
"470","sp|P50095|IMDH3_YEAST;sp|P50094|IMDH4_YEAST;sp|P38697|IMDH2_YEAST","sp|P50095|IMDH3_YEAST;sp|P50094|IMDH4_YEAST;sp|P38697|IMDH2_YEAST",-1.03,0.000101583585444606,0.00621,"conditionB-conditionA","YEAST","1","-1"
"471","sp|P01094|IPA3_YEAST","sp|P01094|IPA3_YEAST",-0.782,0.000102165185305703,0.000922,"conditionB-conditionA","YEAST","1","-1"
"472","sp|P38115|ARA1_YEAST","sp|P38115|ARA1_YEAST",-1.67,0.000103190008849081,0.0063,"conditionB-conditionA","YEAST","1","-1"
"473","sp|P48836|VATG_YEAST","sp|P48836|VATG_YEAST",-1.09,0.000104769603913468,0.00639,"conditionB-conditionA","YEAST","1","-1"
"474","sp|P05740|RL17A_YEAST","sp|P05740|RL17A_YEAST",-1.09,0.000111654037426239,0.00678,"conditionB-conditionA","YEAST","1","-1"
"475","sp|Q3E757|RL11B_YEAST;sp|P0C0W9|RL11A_YEAST","sp|Q3E757|RL11B_YEAST;sp|P0C0W9|RL11A_YEAST",-0.989,0.000115121695408602,0.00697,"conditionB-conditionA","YEAST","1","-1"
"476","sp|P18239|ADT2_YEAST;sp|P18238|ADT3_YEAST","sp|P18239|ADT2_YEAST;sp|P18238|ADT3_YEAST",-1.05,0.000120594460097339,0.00727,"conditionB-conditionA","YEAST","1","-1"
"477","sp|Q06177|TMA10_YEAST","sp|Q06177|TMA10_YEAST",-1.3,0.000124845388785086,0.0075,"conditionB-conditionA","YEAST","1","-1"
"478","sp|P08524|ERG20_YEAST","sp|P08524|ERG20_YEAST",-0.913,0.000125507877176383,0.00754,"conditionB-conditionA","YEAST","1","-1"
"479","sp|P38625|GUAA_YEAST","sp|P38625|GUAA_YEAST",-2.04,0.000125843433029784,0.00561,"conditionB-conditionA","YEAST","1","-1"
"480","sp|P11154|PYC1_YEAST;sp|P32327|PYC2_YEAST","sp|P11154|PYC1_YEAST;sp|P32327|PYC2_YEAST",-2.08,0.000126017286963613,0.00757,"conditionB-conditionA","YEAST","1","-1"
"481","sp|P32481|IF2G_YEAST","sp|P32481|IF2G_YEAST",-1.43,0.000127324231089183,0.00764,"conditionB-conditionA","YEAST","1","-1"
"482","sp|P32911|SUI1_YEAST","sp|P32911|SUI1_YEAST",-1.27,0.000129782325758031,0.000373,"conditionB-conditionA","YEAST","1","-1"
"483","sp|P40024|ARB1_YEAST","sp|P40024|ARB1_YEAST",-0.668,0.000131648885387778,0.00587,"conditionB-conditionA","YEAST","1","-1"
"484","sp|P41811|COPB2_YEAST","sp|P41811|COPB2_YEAST",-1.54,0.000133561109560226,0.000809,"conditionB-conditionA","YEAST","1","-1"
"485","sp|Q96E39|RMXL1_HUMAN","sp|Q96E39|RMXL1_HUMAN",-0.682,0.000135831188831488,0.00708,"conditionB-conditionA","HUMAN","0","0"
"486","sp|P62707|GPMA_ECOLI","sp|P62707|GPMA_ECOLI",1.2,0.000140168771631259,0.0052,"conditionB-conditionA","ECOLI","1","2"
"487","sp|P35179|SC61G_YEAST","sp|P35179|SC61G_YEAST",-1.14,0.000148955517258211,0.00447,"conditionB-conditionA","YEAST","1","-1"
